minutes	A1	A2	A3	B1	B2	B3	C1	C2	C3	X1	X2	X3	Y1	Y2	Y3
28.6	6.980665	6.934126	6.964489	6.827068	6.890675	7.249542	6.977466	6.992733	7.058031	6.866949	6.842528	6.922603	6.940443	6.897435	6.917640
28.7	6.972498	6.949620	6.944378	6.825491	6.889394	7.172996	6.980316	6.995310	7.058031	6.867088	6.848584	6.922603	6.932652	6.896523	6.916202
28.8	6.972215	6.953868	6.924876	6.825315	6.894976	7.089609	6.973842	6.993418	7.095195	6.867482	6.849970	6.930130	6.937859	6.895901	6.915917
28.9	6.977183	6.954091	6.930575	6.825569	6.889352	7.006226	6.973309	6.982951	7.127844	6.857989	6.856385	6.930830	6.940854	6.890146	6.930499
29	6.971479	6.950505	6.932995	6.828444	6.887654	6.953848	6.973010	6.982797	7.139234	6.857642	6.853163	6.929766	6.942596	6.880870	6.961852
29.1	6.970981	6.946605	6.917301	6.825681	6.887348	6.942323	6.972351	7.001280	7.148080	6.851050	6.853627	6.919092	6.952956	6.900412	6.961597
29.2	6.976377	6.961185	6.928451	6.822672	6.881503	6.938476	6.972351	7.001280	7.171350	6.850607	6.864847	6.901189	6.953574	6.904399	6.950169
29.3	6.964160	6.971510	6.929067	6.820681	6.878204	6.939336	6.964564	6.987300	7.172688	6.852424	6.865289	6.896592	6.953503	6.895978	6.916936
29.4	6.962905	6.961220	6.930601	6.820498	6.885893	6.952910	6.962193	7.001814	7.123906	6.853718	6.855760	6.915339	6.943903	6.885152	6.905555
29.5	6.963050	6.953231	6.943918	6.824465	6.895119	6.925944	6.962391	7.011594	7.112332	6.838698	6.856232	6.928242	6.946197	6.906634	6.895876
29.6	6.961105	6.949121	6.943550	6.828685	6.876788	6.916135	6.963675	7.010286	7.112933	6.844586	6.856760	6.953691	6.946197	6.935148	6.888674
29.7	6.961157	6.944920	6.939048	6.826384	6.875080	6.904882	6.963762	7.007990	7.154442	6.844672	6.863352	6.964805	6.943686	6.972998	6.875255
29.8	6.970633	6.958337	6.921734	6.826527	6.884502	6.897967	6.962678	7.012897	7.165817	6.839853	6.856819	6.965324	6.954594	7.049709	6.875346
29.9	6.970717	6.965756	6.911666	6.835187	6.888023	6.898660	6.963105	7.012994	7.168124	6.837241	6.856009	6.933731	6.954594	7.176533	6.880217
30	6.965377	6.952721	6.911477	6.834367	6.884871	6.899896	6.965946	7.005517	7.135520	6.838027	6.852915	6.911369	6.953623	7.282993	6.879106
30.1	6.963439	6.952721	6.910711	6.834396	6.881902	6.876921	6.965946	7.006170	7.064032	6.835298	6.854202	6.923994	6.954129	7.338517	6.874176
30.2	6.965149	6.955549	6.932311	6.845221	6.884126	6.874450	6.959625	7.014726	7.020294	6.832686	6.862148	6.936960	6.958341	7.364266	6.875910
30.3	6.965151	6.954476	6.932403	6.836373	6.877385	6.869445	6.962062	7.011754	6.997590	6.833471	6.850552	6.942510	6.940266	7.310805	6.898480
30.4	6.978209	6.956091	6.928329	6.837080	6.880308	6.900253	6.957885	6.999203	6.989552	6.834837	6.850552	6.928777	6.942440	7.199618	6.910624
30.5	6.988571	6.947660	6.930747	6.838630	6.884869	6.928954	6.951020	7.024506	6.995335	6.838942	6.859876	6.926781	6.942258	7.118896	6.912833
30.6	6.968970	6.946260	6.941872	6.840492	6.881342	6.940047	6.954327	7.031571	7.037942	6.838702	6.858443	6.926014	6.939086	7.011873	6.922900
30.7	6.966758	6.948634	6.944888	6.832160	6.881209	6.938691	6.948510	7.027077	7.096290	6.841169	6.856736	6.911493	6.937575	6.981622	6.934789
30.8	6.967382	6.946493	6.949856	6.830338	6.883062	6.926186	6.944747	7.026972	7.117858	6.834621	6.848174	6.910214	6.939650	6.952848	6.948007
30.9	6.976248	6.947641	6.964042	6.835271	6.881336	6.914534	6.944638	7.032088	7.111472	6.821955	6.845145	6.896238	6.938053	6.946771	6.940110
31	6.980465	6.943483	6.955189	6.826281	6.888820	6.894345	6.948698	7.030393	7.097968	6.829736	6.848406	6.890589	6.938743	6.948207	6.937973
31.1	6.975239	6.961117	6.939985	6.826818	6.889545	6.883624	6.943320	7.047286	7.082409	6.840488	6.854338	6.902959	6.936961	6.963502	6.938244
31.2	6.973198	6.976308	6.938045	6.828174	6.900963	6.859201	6.942309	7.059573	7.079315	6.842952	6.852107	6.915028	6.938830	6.964488	6.918949
31.3	6.975903	7.040255	6.929039	6.829420	6.896505	6.859018	6.942329	7.053300	7.077791	6.834223	6.847522	6.921731	6.944621	6.953498	6.908050
31.4	6.981232	7.117728	6.919028	6.829045	6.889688	6.858557	6.946311	7.047647	7.054256	6.834279	6.844383	6.933616	6.939764	6.936683	6.908018
31.5	6.980139	7.227012	6.899781	6.820398	6.889664	6.874772	6.957270	7.048699	7.047723	6.840276	6.851581	6.931703	6.930347	6.929506	6.917379
31.6	6.975835	7.331392	6.901307	6.820398	6.902301	6.884487	6.946282	7.061066	7.070556	6.847465	6.864668	6.927265	6.930347	6.920220	6.913469
31.7	6.978079	7.345052	6.904247	6.836572	6.894481	6.897436	6.944169	7.043810	7.084921	6.840191	6.866716	6.944321	6.936416	6.914127	6.900326
31.8	6.977659	7.346150	6.908259	6.832688	6.892443	6.915460	6.944169	7.042958	7.101097	6.843019	6.857135	6.947515	6.938602	6.915317	6.902948
31.9	6.973919	7.276960	6.899373	6.826194	6.889517	6.900394	6.944452	7.045453	7.109215	6.852806	6.860393	6.957650	6.938292	6.916674	6.899658
32	6.971952	7.169361	6.907478	6.828634	6.889294	6.899083	6.939348	7.061684	7.101735	6.850179	6.867864	6.937286	6.931678	6.902099	6.901554
32.1	6.965632	7.085080	6.926065	6.834674	6.888938	6.890382	6.947404	7.045640	7.094896	6.846457	6.864525	6.920211	6.942077	6.922452	6.901669
32.2	6.965632	7.017180	6.917608	6.834873	6.891458	6.873595	6.945507	7.027724	7.047077	6.845476	6.860575	6.904297	6.944702	6.932233	6.896922
32.3	6.961339	6.983505	6.931657	6.839695	6.884063	6.877394	6.942586	7.023248	7.040144	6.853568	6.865180	6.916901	6.943059	6.961195	6.883718
32.4	6.957080	6.985553	6.942360	6.831193	6.884266	6.877433	6.952920	7.023122	7.028527	6.846951	6.860558	6.920012	6.944299	6.978535	6.897100
32.5	6.959764	6.988307	6.942223	6.840234	6.891701	6.891864	6.954473	7.024529	7.009205	6.844317	6.856777	6.925592	6.943755	6.970148	6.879820
32.6	6.957300	6.981471	6.946770	6.847182	6.892687	6.878307	6.946857	7.020710	6.988036	6.844028	6.858201	6.925592	6.944654	6.966576	6.885397
32.7	6.961066	6.997848	6.947626	6.845384	6.893550	6.878307	6.946553	7.021217	6.984555	6.845734	6.863196	6.919890	6.944387	6.932368	6.899197
32.8	6.960255	6.997848	6.931186	6.844231	6.883126	6.866433	6.955262	7.014567	6.977771	6.841888	6.854274	6.910954	6.941665	6.915853	6.918682
32.9	6.955639	6.984153	6.931327	6.847179	6.879940	6.875888	6.962200	7.016211	6.982224	6.843429	6.844870	6.909227	6.948950	6.906796	6.960550
33	6.955995	6.979389	6.931907	6.842928	6.877098	6.880078	6.975569	7.019203	6.998042	6.845984	6.850083	6.903673	6.949634	6.906513	7.054437
33.1	6.959251	6.978163	6.938542	6.838257	6.877629	6.876175	6.980837	7.024829	7.009892	6.840715	6.855344	6.910972	6.949299	6.911978	7.132527
33.2	6.964912	6.949536	6.937855	6.839639	6.885245	6.885384	6.970143	7.049974	7.091391	6.838895	6.859868	6.905458	6.947636	6.913940	7.123847
33.3	6.966213	6.955290	6.951311	6.837458	6.886132	6.920779	6.968488	7.052095	7.176062	6.840064	6.864461	6.893482	6.948227	6.930330	7.079366
